mapping_id,claim_a_id,claim_b_id,categoria,contradiccion_interna,confianza,cita_v41,ubicacion_v41,cita_spec,ubicacion_spec,accion_propuesta,locus_objetivo,observaciones
M-00301,CA-00789,,COMPATIBLE_NO_EDIT,false,alta,It is the site's conversion action,body[728,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00302,CA-00790,,COMPATIBLE_NO_EDIT,false,alta,There are no exceptions,body[728,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00303,CA-00791,,COMPATIBLE_NO_EDIT,false,alta,This is the,body[728,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00304,CA-00792,,COMPATIBLE_NO_EDIT,false,alta,body-content counterpart of the header same booking flow.,body[730,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00305,CA-00793,,COMPATIBLE_NO_EDIT,false,alta,Agenda tuvisi ta,body[730]/txbx[0]/p[0,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00306,CA-00794,,COMPATIBLE_NO_EDIT,false,alta,button (Rule 6); both lead to the,body[731,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00307,CA-00795,,COMPATIBLE_NO_EDIT,false,alta,Rule 27-appears when the questionnaire is incomplete,body[734]/Heading4,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00308,CA-00796,,COMPATIBLE_NO_EDIT,false,alta,Disefia tu experiencia,body[734]/txbx[0]/p[0,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00309,CA-00797,,COMPATIBLE_NO_EDIT,false,alta,"As long as the user has not completed the questionnaire, Disena tu experiencia appears in the contextual menu of every page",body[735,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00310,CA-00798,,COMPATIBLE_NO_EDIT,false,alta,The system needs to capture the questionnaire variables and remind the user that this option is available,body[735,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
