mapping_id,claim_a_id,claim_b_id,categoria,contradiccion_interna,confianza,cita_v41,ubicacion_v41,cita_spec,ubicacion_spec,accion_propuesta,locus_objetivo,observaciones
M-00781,,CB-00121,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,Path B (pause from gym): 17 questions visible (Q1–Q16 + Q11 active).,spec PathB,Add to v4.2: Path B (pause from gym): 17 questions visible (Q1–Q16 + Q11 active).,Rule 32 (counts),NUEVA via node T15; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00782,,CB-00122,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,"Path C (weight loss, no pause): 19 questions visible (Q1–Q16 + Q17–Q19).",spec PathC,"Add to v4.2: Path C (weight loss, no pause): 19 questions visible (Q1–Q16 + Q17–Q19).",Rule 32 (counts),NUEVA via node T15; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00783,,CB-00123,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,Path D (weight loss + pause): 20 questions visible (Q1–Q16 + Q11 + Q17–Q19).,spec PathD,Add to v4.2: Path D (weight loss + pause): 20 questions visible (Q1–Q16 + Q11 + Q17–Q19).,Rule 32 (counts),NUEVA via node T15; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00784,,CB-00124,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,"New top-level page 'entrenamiento-con-pesas-individual' with 4 subgroups (Fuerza, Hipertrofia, Potencia, Resistencia muscular), derived from ACSM Position Stand 2026 (Currier BS et al., Med Sci Sports Exerc 2026, DOI 10.1249/MSS.0000000000003897). Add to Part 3 IA and Part 5 subpage matrices.",spec entrenamiento-con-pesas-individual,"Add to v4.2: New top-level page 'entrenamiento-con-pesas-individual' with 4 subgroups (Fuerza, Hipertrofia, Potencia, Resistencia mus",Part 3 Individual-training subgroup taxonomy + Part 5 subpages,NUEVA via node T25; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00785,,CB-00125,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,Subgroup Fuerza — URL slug: /entrenamiento-con-pesas-individual/fuerza,spec Fuerza,Add to v4.2: Subgroup Fuerza — URL slug: /entrenamiento-con-pesas-individual/fuerza,Part 3 Individual-training subgroup taxonomy + Part 5 subpages,NUEVA via node T25; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00786,,CB-00126,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,"Fuerza — Tagline (ES MX): Mover más peso, con técnica sólida.",spec Fuerza,"Add to v4.2: Fuerza — Tagline (ES MX): Mover más peso, con técnica sólida.",Part 3 Individual-training subgroup taxonomy + Part 5 subpages,NUEVA via node T25; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00787,,CB-00127,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,"Fuerza — Prescription: Carga ≥80% 1RM · 2–3 series por ejercicio · 1–5 repeticiones · 2–5 min de descanso entre series · 2–3 sesiones por semana · ejercicios compuestos al inicio de la sesión, rango de movimiento completo.",spec Fuerza,Add to v4.2: Fuerza — Prescription: Carga ≥80% 1RM · 2–3 series por ejercicio · 1–5 repeticiones · 2–5 min de descanso entre series ·,Part 3 Individual-training subgroup taxonomy + Part 5 subpages,NUEVA via node T25; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00788,,CB-00128,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,"Fuerza — Equipment: Pesas libres: barras olímpicas con discos, mancuernas de carga media-alta, kettlebells. Soporte: racks de potencia, bancas de press (planas, inclinadas y declinadas). Máquinas: Smith machine (press y sentadilla con seguridad), hack squat, prensa de pierna pesada. Accesorios: cint",spec Fuerza,"Add to v4.2: Fuerza — Equipment: Pesas libres: barras olímpicas con discos, mancuernas de carga media-alta, kettlebells. Soporte: rac",Part 3 Individual-training subgroup taxonomy + Part 5 subpages,NUEVA via node T25; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00789,,CB-00129,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,"Fuerza — Representative exercises: Sentadilla con barra, peso muerto convencional, peso muerto sumo, press de banca, press militar (de pie), dominadas con peso adicional, remo con barra, hip thrust pesado.",spec Fuerza,"Add to v4.2: Fuerza — Representative exercises: Sentadilla con barra, peso muerto convencional, peso muerto sumo, press de banca, pre",Part 3 Individual-training subgroup taxonomy + Part 5 subpages,NUEVA via node T25; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00790,,CB-00130,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,Fuerza — Primary benefits: Aumento de fuerza máxima absoluta · incremento de densidad mineral ósea · base neuromuscular para el desarrollo de potencia · mejor postura y fuerza funcional para actividades de la vida diaria · prevención de sarcopenia.,spec Fuerza,Add to v4.2: Fuerza — Primary benefits: Aumento de fuerza máxima absoluta · incremento de densidad mineral ósea · base neuromuscular ,Part 3 Individual-training subgroup taxonomy + Part 5 subpages,NUEVA via node T25; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
