mapping_id,claim_a_id,claim_b_id,categoria,contradiccion_interna,confianza,cita_v41,ubicacion_v41,cita_spec,ubicacion_spec,accion_propuesta,locus_objetivo,observaciones
M-00811,,CB-00151,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,Resistencia muscular — Prescription: Carga ligera <60% 1RM · 15–25+ repeticiones por serie · 30–60 s de descanso · 2–4 sesiones por semana · volumen total alto · circuitos y supersets aceptables.,spec Resistencia muscular,Add to v4.2: Resistencia muscular — Prescription: Carga ligera <60% 1RM · 15–25+ repeticiones por serie · 30–60 s de descanso · 2–4 s,Part 3 Individual-training subgroup taxonomy + Part 5 subpages,NUEVA via node T25; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00812,,CB-00152,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,"Resistencia muscular — Equipment: Bandas elásticas de resistencia (loops y tubos con manijas). Peso corporal y suspensión: TRX, anillas, barras de dominadas. Mancuernas ligeras (1–10 kg) y kettlebells ligeros. Implementos de calistenia: pelotas suizas, BOSU, discos de deslizamiento. Cuerdas de batal",spec Resistencia muscular,Add to v4.2: Resistencia muscular — Equipment: Bandas elásticas de resistencia (loops y tubos con manijas). Peso corporal y suspensió,Part 3 Individual-training subgroup taxonomy + Part 5 subpages,NUEVA via node T25; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00813,,CB-00153,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,"Resistencia muscular — Representative exercises: Circuitos con bandas (full body), sentadillas al aire de alto volumen, planchas (estáticas y dinámicas), TRX rows, walking lunges, step-ups, push-ups, peso corporal en circuit (burpees suaves, mountain climbers), kettlebell complex ligero, escaladores",spec Resistencia muscular,"Add to v4.2: Resistencia muscular — Representative exercises: Circuitos con bandas (full body), sentadillas al aire de alto volumen, ",Part 3 Individual-training subgroup taxonomy + Part 5 subpages,NUEVA via node T25; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00814,,CB-00154,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,Resistencia muscular — Primary benefits: Aguante muscular local · tono general sin hipertrofia significativa · base neuromuscular para principiantes · joint-friendly para regresos después de pausa · rehabilitación de lesiones leves · mejora de la postura y de los estabilizadores · acondicionamiento ,spec Resistencia muscular,Add to v4.2: Resistencia muscular — Primary benefits: Aguante muscular local · tono general sin hipertrofia significativa · base neur,Part 3 Individual-training subgroup taxonomy + Part 5 subpages,NUEVA via node T25; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00815,,CB-00155,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,Resistencia muscular — Ideal user profile: Principiantes absolutos · usuarios que regresan después de una pausa larga (Q11) · rehabilitación de lesión leve o dolor articular (Q12) · adultos mayores · personas con meta 'Mejorar condición y aguante' o 'Recuperarme de una lesión o dolor'.,spec Resistencia muscular,Add to v4.2: Resistencia muscular — Ideal user profile: Principiantes absolutos · usuarios que regresan después de una pausa larga (Q,Part 3 Individual-training subgroup taxonomy + Part 5 subpages,NUEVA via node T25; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00816,,CB-00156,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,"Resistencia muscular — Cautions: Verificar técnica básica antes de subir volumen · si hay dolor agudo, derivar a Personal Training supervisado en lugar de individual · embarazadas deben consultar antes de empezar.",spec Resistencia muscular,"Add to v4.2: Resistencia muscular — Cautions: Verificar técnica básica antes de subir volumen · si hay dolor agudo, derivar a Persona",Part 3 Individual-training subgroup taxonomy + Part 5 subpages,NUEVA via node T25; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00817,,CB-00157,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,"New top-level page 'entrenamiento-aerobico-individual' with 4 subgroups (LISS, MICT, HIIT, SIT), derived from ACSM/ESSA Joint Expert Statement on Physical Activity and Exercise Intensity Terminology, J Sci Med Sport 2024. Add to Part 3 IA and Part 5 subpage matrices.",spec entrenamiento-aerobico-individual,"Add to v4.2: New top-level page 'entrenamiento-aerobico-individual' with 4 subgroups (LISS, MICT, HIIT, SIT), derived from ACSM/ESSA ",Part 3 Individual-training subgroup taxonomy + Part 5 subpages,NUEVA via node T25; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00818,,CB-00158,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,Subgroup LISS — URL slug: /entrenamiento-aerobico-individual/liss,spec LISS,Add to v4.2: Subgroup LISS — URL slug: /entrenamiento-aerobico-individual/liss,Part 3 Individual-training subgroup taxonomy + Part 5 subpages,NUEVA via node T25; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00819,,CB-00159,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,"LISS — Tagline (ES MX): Movimiento sostenido, sin estrés ni impacto.",spec LISS,"Add to v4.2: LISS — Tagline (ES MX): Movimiento sostenido, sin estrés ni impacto.",Part 3 Individual-training subgroup taxonomy + Part 5 subpages,NUEVA via node T25; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00820,,CB-00160,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,"LISS — Prescription: Intensidad <60% VO₂max o <60–65% HRmax · RPE 9–12 en escala de 6–20 de Borg (ligero a moderado-bajo) · ritmo conversacional · 30–60+ min por sesión · 3–6 sesiones por semana, incluyendo recuperación activa.",spec LISS,Add to v4.2: LISS — Prescription: Intensidad <60% VO₂max o <60–65% HRmax · RPE 9–12 en escala de 6–20 de Borg (ligero a moderado-bajo,Part 3 Individual-training subgroup taxonomy + Part 5 subpages,NUEVA via node T25; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00821,,CB-00161,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,"LISS — Equipment: Caminadora a velocidad de caminata (3–5 km/h, inclinación 0–3%). Bicicleta estática con resistencia mínima. Elíptica con resistencia mínima. Natación a ritmo lento (libre suave o de espalda). Aqua walking en alberca poco profunda. Bicicleta recumbente para limitación lumbar.",spec LISS,"Add to v4.2: LISS — Equipment: Caminadora a velocidad de caminata (3–5 km/h, inclinación 0–3%). Bicicleta estática con resistencia mí",Part 3 Individual-training subgroup taxonomy + Part 5 subpages,NUEVA via node T25; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00822,,CB-00162,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,LISS — Representative exercises: Caminata sostenida a paso natural · bicicleta estática suave 50–60 RPM · elíptica baja resistencia · natación lenta 25 m con descansos · caminata en alberca · recovery walks al aire libre.,spec LISS,Add to v4.2: LISS — Representative exercises: Caminata sostenida a paso natural · bicicleta estática suave 50–60 RPM · elíptica baja ,Part 3 Individual-training subgroup taxonomy + Part 5 subpages,NUEVA via node T25; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00823,,CB-00163,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,LISS — Primary benefits: Base aeróbica para principiantes · recuperación activa entre sesiones intensas · manejo de estrés y salud mental · baja demanda articular (joint-friendly) · ideal para rehabilitación cardiaca fase I-II · favorece oxidación de grasa como sustrato dominante · acondicionamiento,spec LISS,Add to v4.2: LISS — Primary benefits: Base aeróbica para principiantes · recuperación activa entre sesiones intensas · manejo de estr,Part 3 Individual-training subgroup taxonomy + Part 5 subpages,NUEVA via node T25; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00824,,CB-00164,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,LISS — Ideal user profile: Principiantes absolutos · rehabilitación post-lesión o post-cirugía · adultos mayores · días de recuperación activa para cualquier nivel · personas con condición cardiovascular estabilizada bajo prescripción médica · meta 'Recuperarme de una lesión o dolor'.,spec LISS,Add to v4.2: LISS — Ideal user profile: Principiantes absolutos · rehabilitación post-lesión o post-cirugía · adultos mayores · días ,Part 3 Individual-training subgroup taxonomy + Part 5 subpages,NUEVA via node T25; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
