mapping_id,claim_a_id,claim_b_id,categoria,contradiccion_interna,confianza,cita_v41,ubicacion_v41,cita_spec,ubicacion_spec,accion_propuesta,locus_objetivo,observaciones
M-00391,CA-00892,,COMPATIBLE_NO_EDIT,false,media,No questionnaire,body[854,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00392,CA-00893,,COMPATIBLE_NO_EDIT,false,media,no inferred location • pure brand search,body[854,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00393,CA-00894,,COMPATIBLE_NO_EDIT,false,media,No questionnaire,body[856,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00394,CA-00895,,COMPATIBLE_NO_EDIT,false,media,no inferred location • search with goal,body[856,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00395,CA-00896,,COMPATIBLE_NO_EDIT,false,media,No questionnaire,body[858,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00396,CA-00897,,COMPATIBLE_NO_EDIT,false,media,with inferred location,body[858,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00397,CA-00898,,COMPATIBLE_NO_EDIT,false,media,Questionnaire complete (always outside the flow on home),body[861,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00398,CA-00899,,REQUIERE_EDIT,false,media,10 standard questions (12 if weight loss),body[862,,,Recompute matrix cell: P-codes->Q-codes and/or question counts,Part 5 matrix cell,cell references questionnaire codes/counts
M-00399,CA-00900,,REQUIERE_EDIT,false,media,"10 questions, P1 pre-filled and editable (12 if weight loss)",body[865,,,Recompute matrix cell: P-codes->Q-codes and/or question counts,Part 5 matrix cell,cell references questionnaire codes/counts
M-00400,CA-00901,,REQUIERE_EDIT,false,media,"10 questions, PS and P9 pre-filled and editable (12 if weight loss)",body[868,,,Recompute matrix cell: P-codes->Q-codes and/or question counts,Part 5 matrix cell,cell references questionnaire codes/counts
M-00401,CA-00911,,COMPATIBLE_NO_EDIT,false,media,Tu Club ideal,body[876,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00402,CA-00912,,COMPATIBLE_NO_EDIT,false,media,( Disena tu experiencia],body[876,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00403,CA-00913,,COMPATIBLE_NO_EDIT,false,media,(Agenda tu visita guiada],body[876,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00404,CA-00914,,COMPATIBLE_NO_EDIT,false,media,Volver a tu experiencia ideal,body[877]/txbx[0]/p[0,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00405,CA-00919,,REQUIERE_EDIT,false,media,"By landing on a specific club page, the club is already identified",body[885,,,Recompute matrix cell: P-codes->Q-codes and/or question counts,Part 5 matrix cell,cell references questionnaire codes/counts
M-00406,CA-00920,,REQUIERE_EDIT,false,media,PB and P9 are omitted from the questionnaire.,body[885,,,Recompute matrix cell: P-codes->Q-codes and/or question counts,Part 5 matrix cell,cell references questionnaire codes/counts
M-00407,CA-00921,,COMPATIBLE_NO_EDIT,false,media,StateQuestionnaireContextual menu,body[887,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00408,CA-00923,,COMPATIBLE_NO_EDIT,false,media,No questionnaire,body[891,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00409,CA-00924,,COMPATIBLE_NO_EDIT,false,media,single-club city,body[891,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00410,CA-00926,,COMPATIBLE_NO_EDIT,false,media,(10 if weight loss),body[893,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00411,CA-00929,,COMPATIBLE_NO_EDIT,false,media,No questionnaire,body[904,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00412,CA-00930,,COMPATIBLE_NO_EDIT,false,media,city with up to3clubs,body[904,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00413,CA-00931,,COMPATIBLE_NO_EDIT,false,media,No questionnaire • city with morethan3clubs (( CIUDAD-ZMVM)),body[907,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00414,CA-00940,,COMPATIBLE_NO_EDIT,false,media,(10 if weight loss),body[923,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00415,CA-00942,,COMPATIBLE_NO_EDIT,false,media,(10 if weight loss),body[927,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00416,CA-00947,,COMPATIBLE_NO_EDIT,false,media,Questionnaire,body[949,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00417,CA-00956,,COMPATIBLE_NO_EDIT,false,media,Volver a tu experiencia ideal,body[955]/txbx[0]/p[0,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00418,CA-00958,,COMPATIBLE_NO_EDIT,false,media,Volver a tu experiencia ideal,body[955]/txbx[1]/p[0,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00419,CA-00960,,COMPATIBLE_NO_EDIT,false,media,Volver a tu experiencia ideal,body[955]/txbx[2]/p[0,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00420,CA-00961,,COMPATIBLE_NO_EDIT,false,media,Otros clubes en tu ciudad,body[955]/txbx[2]/p[0,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
