mapping_id,claim_a_id,claim_b_id,categoria,contradiccion_interna,confianza,cita_v41,ubicacion_v41,cita_spec,ubicacion_spec,accion_propuesta,locus_objetivo,observaciones
M-00481,CA-01093,,COMPATIBLE_NO_EDIT,false,media,The system surfaces up to 3 proposed clubs per the with club selectedgeographic rules. If the user invokes [ Disena tu,body[1104,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00482,CA-01094,,REQUIERE_EDIT,false,media,"expe riencia ), it is10 questions with P2 pre-filled and editable (12 if weight loss).",body[1106,,,Recompute matrix cell: P-codes->Q-codes and/or question counts,Part 5 matrix cell,cell references questionnaire codes/counts
M-00483,CA-01100,,COMPATIBLE_NO_EDIT,false,media,d ispon ibles) •[ Disena tu experiencia),body[1120,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00484,CA-01101,,COMPATIBLE_NO_EDIT,false,media,[Agenda tu visita guiada),body[1120,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00485,CA-01102,,COMPATIBLE_NO_EDIT,false,media,[volver a tu experiencia ideal),body[1122,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00486,CA-01103,,COMPATIBLE_NO_EDIT,false,media,[Clases FitKidz disponibles) •[ Agenda tuvisita guiada),body[1122,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00487,CA-01104,,COMPATIBLE_NO_EDIT,false,media,[Volver a tu experiencia ideal),body[1124,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00488,CA-01105,,COMPATIBLE_NO_EDIT,false,media,[Clases FitKidz disponibles) •[ Agenda tuvisita guiada),body[1124,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00489,CA-01107,,REQUIERE_EDIT,false,media,"Applies to all 5 hubs (first steps, health and wellness, tone, build strength, rehabilitation)",body[1131,,,Recompute matrix cell: P-codes->Q-codes and/or question counts,Part 5 matrix cell,cell references questionnaire codes/counts
M-00490,CA-01108,,REQUIERE_EDIT,false,media,Landing pre-fills P1 with the hub's goal,body[1131,,,Recompute matrix cell: P-codes->Q-codes and/or question counts,Part 5 matrix cell,cell references questionnaire codes/counts
