mapping_id,claim_a_id,claim_b_id,categoria,contradiccion_interna,confianza,cita_v41,ubicacion_v41,cita_spec,ubicacion_spec,accion_propuesta,locus_objetivo,observaciones
M-00451,CA-01023,,COMPATIBLE_NO_EDIT,false,media,editable (12 if weight loss),table@body[1024]/r[9]/c[1,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00452,CA-01039,,COMPATIBLE_NO_EDIT,false,media,StateQuestionnaireContextual menu,body[1032,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00453,CA-01040,,COMPATIBLE_NO_EDIT,false,media,No questionnaire,body[1036,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00454,CA-01041,,COMPATIBLE_NO_EDIT,false,media,no club selected • no inferred location,body[1036,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00455,CA-01042,,COMPATIBLE_NO_EDIT,false,media,No questionnaire,body[1038,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00456,CA-01043,,COMPATIBLE_NO_EDIT,false,media,no club selected,body[1038,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00457,CA-01044,,COMPATIBLE_NO_EDIT,false,media,with inferred location,body[1038,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00458,CA-01045,,COMPATIBLE_NO_EDIT,false,media,No questionnaire,body[1040,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00459,CA-01046,,COMPATIBLE_NO_EDIT,false,media,with club selected,body[1040,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00460,CA-01049,,REQUIERE_EDIT,false,media,"10 questions, P4 pre-filled and editable (12 if weight loss)",body[1048,,,Recompute matrix cell: P-codes->Q-codes and/or question counts,Part 5 matrix cell,cell references questionnaire codes/counts
M-00461,CA-01050,,REQUIERE_EDIT,false,media,"10 questions, P4, PB and P9 pre-filled and editable (12 if weight loss)",body[1051,,,Recompute matrix cell: P-codes->Q-codes and/or question counts,Part 5 matrix cell,cell references questionnaire codes/counts
M-00462,CA-01051,,REQUIERE_EDIT,false,media,"10 questions, P4 pre-filled and editable (12 if weight loss)",body[1053,,,Recompute matrix cell: P-codes->Q-codes and/or question counts,Part 5 matrix cell,cell references questionnaire codes/counts
M-00463,CA-01060,,COMPATIBLE_NO_EDIT,false,media,Disena tu experiencia • Agenda tu visita guiada,body[1066]/txbx[0]/p[0,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00464,CA-01061,,COMPATIBLE_NO_EDIT,false,media,(Volver a tu experiencia ideal],body[1068,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00465,CA-01062,,COMPATIBLE_NO_EDIT,false,media,(Agenda tu visita guiada],body[1068,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00466,CA-01063,,COMPATIBLE_NO_EDIT,false,media,(volver a tu experiencia ideal],body[1070,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00467,CA-01064,,COMPATIBLE_NO_EDIT,false,media,(Agenda tu visita guiada],body[1070,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00468,CA-01069,,REQUIERE_EDIT,false,media,pre-fills P2 (composition) with family or,body[1078,,,Recompute matrix cell: P-codes->Q-codes and/or question counts,Part 5 matrix cell,cell references questionnaire codes/counts
M-00469,CA-01070,,REQUIERE_EDIT,false,media,The user can confirm or change.,body[1078,,,Recompute matrix cell: P-codes->Q-codes and/or question counts,Part 5 matrix cell,cell references questionnaire codes/counts
