mapping_id,claim_a_id,claim_b_id,categoria,contradiccion_interna,confianza,cita_v41,ubicacion_v41,cita_spec,ubicacion_spec,accion_propuesta,locus_objetivo,observaciones
M-00541,CA-01202,,REQUIERE_EDIT,false,media,10 questions with PS pre-filled and editable (12 if weight loss),body[1262,,,Recompute matrix cell: P-codes->Q-codes and/or question counts,Part 5 matrix cell,cell references questionnaire codes/counts
M-00542,CA-01207,,COMPATIBLE_NO_EDIT,false,media,informaci6n util] (ifany),body[1272,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00543,CA-01208,,COMPATIBLE_NO_EDIT,false,media,[Disena tu experiencia ],body[1272,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00544,CA-01209,,COMPATIBLE_NO_EDIT,false,media,[ Agenda tu visi ta guiada],body[1272,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00545,CA-01211,,COMPATIBLE_NO_EDIT,false,media,info rmaci6n util] (if any),body[1274,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00546,CA-01212,,COMPATIBLE_NO_EDIT,false,media,[ Disena tu experiencia ],body[1274,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00547,CA-01213,,COMPATIBLE_NO_EDIT,false,media,[ Agenda tu visi ta guiada],body[1274,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00548,CA-01216,,COMPATIBLE_NO_EDIT,false,media,any),body[1275]/txbx[0]/p[1,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00549,CA-01217,,COMPATIBLE_NO_EDIT,false,media,Disena tu experiencia Agenda tu visita guiada,body[1275]/txbx[0]/p[1,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00550,CA-01218,,COMPATIBLE_NO_EDIT,false,media,Volver a tu experiencia ideal,body[1279]/txbx[0]/p[0,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00551,CA-01219,,COMPATIBLE_NO_EDIT,false,media,Articulos o informaci6n util (if,body[1279]/txbx[0]/p[0,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00552,CA-01223,,COMPATIBLE_NO_EDIT,false,media,Volver a tu experiencia ideal Articulos o informaci6n util (if,body[1286]/txbx[0]/p[0,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00553,CA-01226,,COMPATIBLE_NO_EDIT,false,media,Landing on memberships does not allow inferring questionnaire variables,body[1287,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00554,CA-01227,,COMPATIBLE_NO_EDIT,false,media,"Per Rule 22, the page does not include online checkout- conversion goes through Agenda tuvisi ta guiada.",body[1287,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00555,CA-01228,,COMPATIBLE_NO_EDIT,false,media,StateQuestionnaireContextual menu,body[1289,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00556,CA-01229,,COMPATIBLE_NO_EDIT,false,media,No questionnaire,body[1293,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00557,CA-01230,,COMPATIBLE_NO_EDIT,false,media,no club selected • no inferred location,body[1293,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00558,CA-01231,,COMPATIBLE_NO_EDIT,false,media,No questionnaire,body[1295,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
