mapping_id,claim_a_id,claim_b_id,categoria,contradiccion_interna,confianza,cita_v41,ubicacion_v41,cita_spec,ubicacion_spec,accion_propuesta,locus_objetivo,observaciones
M-00061,CA-00529,,COMPATIBLE_NO_EDIT,false,media,pilates reformer,table@body[450]/r[13]/c[1,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00062,CA-00530,,COMPATIBLE_NO_EDIT,false,media,Personal goal,table@body[450]/r[15]/c[0,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00063,CA-00531,,COMPATIBLE_NO_EDIT,false,media,"tonificar ,( ganar masa",table@body[450]/r[15]/c[1,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00064,CA-00532,,COMPATIBLE_NO_EDIT,false,media,Corresponding goal hub,table@body[450]/r[15]/c[2,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00065,CA-00533,,COMPATIBLE_NO_EDIT,false,media,muscular1(primeros pasos en,table@body[450]/r[16]/c[1,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00066,CA-00534,,COMPATIBLE_NO_EDIT,false,media,el gym),table@body[450]/r[17]/c[1,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00067,CA-00535,,COMPATIBLE_NO_EDIT,false,media,Weight loss,table@body[450]/r[19]/c[0,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00068,CA-00536,,COMPATIBLE_NO_EDIT,false,media,"bajar de peso,( perder peso",table@body[450]/r[19]/c[1,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00069,CA-00537,,COMPATIBLE_NO_EDIT,false,media,Bajar de peso hub,table@body[450]/r[19]/c[2,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00070,CA-00538,,COMPATIBLE_NO_EDIT,false,media,gym1(GLP-1 ozempic,table@body[450]/r[20]/c[1,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
