mapping_id,claim_a_id,claim_b_id,categoria,contradiccion_interna,confianza,cita_v41,ubicacion_v41,cita_spec,ubicacion_spec,accion_propuesta,locus_objetivo,observaciones
M-00181,CA-00649,,REQUIERE_REEMPLAZO,false,media,"Single-select,•",body[565,New 16Q + 3WL option set (spec §3),spec §3,Replace legacy option/question fragment as part of full Rule 18/19 rewrite,Rule 18/19 questionnaire table,fragment of legacy questionnaire; replaced wholesale
M-00182,CA-00650,,REQUIERE_REEMPLAZO,false,media,required,body[566,New 16Q + 3WL option set (spec §3),spec §3,Replace legacy option/question fragment as part of full Rule 18/19 rewrite,Rule 18/19 questionnaire table,fragment of legacy questionnaire; replaced wholesale
M-00183,CA-00651,,REQUIERE_REEMPLAZO,false,media,1-2 veces • 3-4veces,body[566]/txbx[0]/p[0,New 16Q + 3WL option set (spec §3),spec §3,Replace legacy option/question fragment as part of full Rule 18/19 rewrite,Rule 18/19 questionnaire table,fragment of legacy questionnaire; replaced wholesale
M-00184,CA-00652,,REQUIERE_REEMPLAZO,false,media,Todos lasdias,body[566]/txbx[0]/p[1,New 16Q + 3WL option set (spec §3),spec §3,Replace legacy option/question fragment as part of full Rule 18/19 rewrite,Rule 18/19 questionnaire table,fragment of legacy questionnaire; replaced wholesale
M-00185,CA-00653,,REQUIERE_REEMPLAZO,false,media,5 o mas,body[566]/txbx[1]/p[0,New 16Q + 3WL option set (spec §3),spec §3,Replace legacy option/question fragment as part of full Rule 18/19 rewrite,Rule 18/19 questionnaire table,fragment of legacy questionnaire; replaced wholesale
M-00186,CA-00654,CB-00034,REQUIERE_REEMPLAZO,false,media,P7-,body[572,Q7: Q7 question copy: ¿En qué horario prefieres entrenar?,spec Q7,P7 -> Q7: schedule becomes 6 time-bands Q7,Rule 18/19 questionnaire table,schedule becomes 6 time-bands Q7
M-00187,CA-00655,,REQUIERE_REEMPLAZO,false,media,Schedule,body[573,New 16Q + 3WL option set (spec §3),spec §3,Replace legacy option/question fragment as part of full Rule 18/19 rewrite,Rule 18/19 questionnaire table,fragment of legacy questionnaire; replaced wholesale
M-00188,CA-00656,,REQUIERE_REEMPLAZO,false,media,"(lQue horario teMulti-select,max",body[576,New 16Q + 3WL option set (spec §3),spec §3,Replace legacy option/question fragment as part of full Rule 18/19 rewrite,Rule 18/19 questionnaire table,fragment of legacy questionnaire; replaced wholesale
M-00189,CA-00657,,REQUIERE_REEMPLAZO,false,media,funciona?)2,body[577,New 16Q + 3WL option set (spec §3),spec §3,Replace legacy option/question fragment as part of full Rule 18/19 rewrite,Rule 18/19 questionnaire table,fragment of legacy questionnaire; replaced wholesale
M-00190,CA-00658,,REQUIERE_REEMPLAZO,false,media,Antes de 7 AM • Mariana (7-12) Mediodia (12-3) • Tarde ( 3-7) Noche ( despues de 7) •( Fines de,body[577]/txbx[0]/p[0,New 16Q + 3WL option set (spec §3),spec §3,Replace legacy option/question fragment as part of full Rule 18/19 rewrite,Rule 18/19 questionnaire table,fragment of legacy questionnaire; replaced wholesale
M-00191,CA-00659,,REQUIERE_REEMPLAZO,false,media,semana),body[579,New 16Q + 3WL option set (spec §3),spec §3,Replace legacy option/question fragment as part of full Rule 18/19 rewrite,Rule 18/19 questionnaire table,fragment of legacy questionnaire; replaced wholesale
M-00192,CA-00660,,REQUIERE_REEMPLAZO,false,media,Ce rcade mi casa • ( Ce rcade mi,body[579]/txbx[0]/p[0,New 16Q + 3WL option set (spec §3),spec §3,Replace legacy option/question fragment as part of full Rule 18/19 rewrite,Rule 18/19 questionnaire table,fragment of legacy questionnaire; replaced wholesale
M-00193,CA-00661,,REQUIERE_REEMPLAZO,false,media,trabajo),body[579]/txbx[0]/p[1,New 16Q + 3WL option set (spec §3),spec §3,Replace legacy option/question fragment as part of full Rule 18/19 rewrite,Rule 18/19 questionnaire table,fragment of legacy questionnaire; replaced wholesale
M-00194,CA-00662,,REQUIERE_REEMPLAZO,false,media,Ambos • No me importa,body[579]/txbx[0]/p[1,New 16Q + 3WL option set (spec §3),spec §3,Replace legacy option/question fragment as part of full Rule 18/19 rewrite,Rule 18/19 questionnaire table,fragment of legacy questionnaire; replaced wholesale
M-00195,CA-00663,CB-00073,REQUIERE_REEMPLAZO,false,media,PS-,body[581,Q13: Q13 question copy: ¿Prefieres entrenar solo o acompañado?,spec Q13,PS -> Q13: OCR PS=P5 format -> Q13,Rule 18/19 questionnaire table,OCR PS=P5 format -> Q13
M-00196,CA-00664,,REQUIERE_REEMPLAZO,false,media,Geography intent,body[582,New 16Q + 3WL option set (spec §3),spec §3,Replace legacy option/question fragment as part of full Rule 18/19 rewrite,Rule 18/19 questionnaire table,fragment of legacy questionnaire; replaced wholesale
