mapping_id,claim_a_id,claim_b_id,categoria,contradiccion_interna,confianza,cita_v41,ubicacion_v41,cita_spec,ubicacion_spec,accion_propuesta,locus_objetivo,observaciones
M-00091,CA-00559,,COMPATIBLE_NO_EDIT,false,media,"calorias spinning,",table@body[450]/r[32]/c[1,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00092,CA-00560,,COMPATIBLE_NO_EDIT,false,media,Journal article on the topic,table@body[450]/r[32]/c[2,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00093,CA-00561,,COMPATIBLE_NO_EDIT,false,media,(diferencia body pump vs combat),body[451,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00094,CA-00562,,COMPATIBLE_NO_EDIT,false,media,Query type,body[454,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00095,CA-00563,,COMPATIBLE_NO_EDIT,false,media,Sports World specific information,body[456,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00096,CA-00564,,COMPATIBLE_NO_EDIT,false,media,"Cancellations, freezes, support",body[457,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00097,CA-00565,,COMPATIBLE_NO_EDIT,false,media,Examples,body[458,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00098,CA-00566,,COMPATIBLE_NO_EDIT,false,media,"horario polanco,[alberca en antara)",body[460,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00099,CA-00567,,COMPATIBLE_NO_EDIT,false,media,Landing page,body[461,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00100,CA-00568,,COMPATIBLE_NO_EDIT,false,media,Home with the BES widget opened,body[463,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00101,CA-00569,,COMPATIBLE_NO_EDIT,false,media,",Home with the BES widget opened",body[467,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00102,CA-00570,,COMPATIBLE_NO_EDIT,false,media,c6mo cancelo mi memb resia,body[467]/txbx[0]/p[0,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00103,CA-00571,,COMPATIBLE_NO_EDIT,false,media,puedo congelar mi plan,body[467]/txbx[0]/p[1,,,No change; general routing prose unaffected,Rule 16/17,prose not tied to specific codes
M-00104,CA-00572,,REQUIERE_EDIT,false,alta,Rule 16 - Inferring information from the external search query,body[471]/Heading4,Precedence/inference now references Q-codes (Q4 goal > Q16 location > ...),spec §3 / Rule 16-17,Recode P-codes to Q-codes and refresh inferred-vocabulary list (goal/location/movement -> Q4/Q15-Q16/Q5-Q6),Rule 16 / Rule 17,P1>P9>P4 precedence -> Q4>Q16>Q5/Q6; vocabulary list edited
