mapping_id,claim_a_id,claim_b_id,categoria,contradiccion_interna,confianza,cita_v41,ubicacion_v41,cita_spec,ubicacion_spec,accion_propuesta,locus_objetivo,observaciones
M-00691,,CB-00019,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,Q4 option: Mejorar mi estética corporal,spec Q4,Add to v4.2: Q4 option: Mejorar mi estética corporal,Rule 18/19 (new questions),NUEVA via node T10; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00692,,CB-00020,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,Q4 option: Ganar fuerza,spec Q4,Add to v4.2: Q4 option: Ganar fuerza,Rule 18/19 (new questions),NUEVA via node T10; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00693,,CB-00021,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,Q4 option: Mejorar condición y aguante,spec Q4,Add to v4.2: Q4 option: Mejorar condición y aguante,Rule 18/19 (new questions),NUEVA via node T10; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00694,,CB-00022,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,Q4 option: Recuperarme de una lesión o dolor,spec Q4,Add to v4.2: Q4 option: Recuperarme de una lesión o dolor,Rule 18/19 (new questions),NUEVA via node T10; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00695,,CB-00024,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,"Q5 type: single, required",spec Q5,"Add to v4.2: Q5 type: single, required",Rule 18/19 (new questions),NUEVA via node T10; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00696,,CB-00025,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,"Q5 option: Intenso, que me rete",spec Q5,"Add to v4.2: Q5 option: Intenso, que me rete",Rule 18/19 (new questions),NUEVA via node T10; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00697,,CB-00026,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,Q5 option: Moderado y constante,spec Q5,Add to v4.2: Q5 option: Moderado y constante,Rule 18/19 (new questions),NUEVA via node T10; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00698,,CB-00027,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,Q5 option: Suave/controlado,spec Q5,Add to v4.2: Q5 option: Suave/controlado,Rule 18/19 (new questions),NUEVA via node T10; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00699,,CB-00028,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,Q6 question copy: ¿Dónde prefieres entrenar?,spec Q6,Add to v4.2: Q6 question copy: ¿Dónde prefieres entrenar?,Rule 18/19 (new questions),NUEVA via node T10; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00700,,CB-00029,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,"Q6 type: single, required",spec Q6,"Add to v4.2: Q6 type: single, required",Rule 18/19 (new questions),NUEVA via node T10; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00701,,CB-00030,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,Q6 option: En piso / área seca,spec Q6,Add to v4.2: Q6 option: En piso / área seca,Rule 18/19 (new questions),NUEVA via node T10; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00702,,CB-00031,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,Q6 option: En la alberca,spec Q6,Add to v4.2: Q6 option: En la alberca,Rule 18/19 (new questions),NUEVA via node T10; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00703,,CB-00032,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,Q6 option: Ambas,spec Q6,Add to v4.2: Q6 option: Ambas,Rule 18/19 (new questions),NUEVA via node T10; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00704,,CB-00033,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,Q6 option: Lo que mi entrenador recomiende,spec Q6,Add to v4.2: Q6 option: Lo que mi entrenador recomiende,Rule 18/19 (new questions),NUEVA via node T10; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00705,,CB-00035,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,"Q7 type: multi, required",spec Q7,"Add to v4.2: Q7 type: multi, required",Rule 18/19 (new questions),NUEVA via node T10; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00706,,CB-00036,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,Q7 option: Temprano (5:00–8:00),spec Q7,Add to v4.2: Q7 option: Temprano (5:00–8:00),Rule 18/19 (new questions),NUEVA via node T10; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00707,,CB-00037,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,Q7 option: Media mañana (8:00–11:00),spec Q7,Add to v4.2: Q7 option: Media mañana (8:00–11:00),Rule 18/19 (new questions),NUEVA via node T10; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00708,,CB-00038,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,Q7 option: Mediodía (11:00–14:00),spec Q7,Add to v4.2: Q7 option: Mediodía (11:00–14:00),Rule 18/19 (new questions),NUEVA via node T10; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00709,,CB-00039,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,Q7 option: Primera tarde (14:00–17:00),spec Q7,Add to v4.2: Q7 option: Primera tarde (14:00–17:00),Rule 18/19 (new questions),NUEVA via node T10; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00710,,CB-00040,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,Q7 option: Tarde (17:00–20:00),spec Q7,Add to v4.2: Q7 option: Tarde (17:00–20:00),Rule 18/19 (new questions),NUEVA via node T10; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
