mapping_id,claim_a_id,claim_b_id,categoria,contradiccion_interna,confianza,cita_v41,ubicacion_v41,cita_spec,ubicacion_spec,accion_propuesta,locus_objetivo,observaciones
M-00211,CA-00679,,REQUIERE_REEMPLAZO,false,media,thePAR-Q),table@body[589]/r[3]/c[1,New 16Q + 3WL option set (spec §3),spec §3,Replace legacy option/question fragment as part of full Rule 18/19 rewrite,Rule 18/19 questionnaire table,fragment of legacy questionnaire; replaced wholesale
M-00212,CA-00680,,REQUIERE_REEMPLAZO,false,media,default [ nothing,table@body[589]/r[3]/c[2,New 16Q + 3WL option set (spec §3),spec §3,Replace legacy option/question fragment as part of full Rule 18/19 rewrite,Rule 18/19 questionnaire table,fragment of legacy questionnaire; replaced wholesale
M-00213,CA-00681,,REQUIERE_REEMPLAZO,false,media,relevant],table@body[589]/r[5]/c[2,New 16Q + 3WL option set (spec §3),spec §3,Replace legacy option/question fragment as part of full Rule 18/19 rewrite,Rule 18/19 questionnaire table,fragment of legacy questionnaire; replaced wholesale
M-00214,CA-00682,CB-00120,REQUIERE_EDIT,false,alta,Rule 19 - The 12-question variant for weight loss,body[590]/Heading4,"Path A (no weight loss, no pause): 16 questions visible.",spec §3.3,Update title/count: 10 base questions -> 16 base questions (+3 WL optionals +1 conditional),Rule 18 heading,count change; structure rewritten in body
M-00215,CA-00683,CB-00120,REQUIERE_EDIT,false,alta,"When the user answers Pl= Ba jardepeso, thequestionnaire switches to its 12-question variant",body[591,"Path A (no weight loss, no pause): 16 questions visible.",spec §3.3,Update title/count: 10 base questions -> 16 base questions (+3 WL optionals +1 conditional),Rule 18 heading,count change; structure rewritten in body
M-00216,CA-00684,CB-00016,REQUIERE_EDIT,false,alta,The variant:,body[591,Q4: Q4 question copy: ¿Qué buscas?,spec Q4,Pl -> Q4: OCR Pl=P1; recode in precedence/refs,Rule 18/19 questionnaire table,OCR Pl=P1; recode in precedence/refs
M-00217,CA-00685,CB-00066,REQUIERE_REEMPLAZO,false,media,"Replaces PlO with P10-WL, with options specific to a weight-loss profile (includes GLP-1, bariatric surgery, ongoing medical care, pregnancy, hypertension, diabetes).",body[592,Q12: Q12 question copy: ¿Tienes alguna condición médica?,spec Q12,PlO -> Q12: OCR PlO=P10,Rule 18/19 questionnaire table,OCR PlO=P10
M-00218,CA-00686,CB-00106,REQUIERE_REEMPLAZO,false,media,"Adds P11-WL • Current physical data - a screen with three numeric inputs in a single question: weight (kg), height (cm), age.",body[593,Q18: Q18 question copy: Tus datos físicos actuales,spec Q18,P11-WL -> Q18: WL physical data -> Q18 numeric 3 fields,Rule 18/19 questionnaire table,WL physical data -> Q18 numeric 3 fields
M-00219,CA-00687,CB-00111,REQUIERE_REEMPLAZO,false,media,"Adds P12-WL • Change goal - single-select with options expressed as kilo ranges, no clinical absolutes.",body[594,Q19: Q19 question copy: ¿Cuál es tu objetivo de cambio?,spec Q19,P12-WL -> Q19: WL change goal -> Q19,Rule 18/19 questionnaire table,WL change goal -> Q19
M-00220,CA-00688,,REQUIERE_REEMPLAZO,false,media,"Shows a health disclaimer modal before presenting the result, with the signature of the medical reviewer backing the content.",body[595,New 16Q + 3WL option set (spec §3),spec §3,Replace legacy option/question fragment as part of full Rule 18/19 rewrite,Rule 18/19 questionnaire table,fragment of legacy questionnaire; replaced wholesale
M-00221,CA-00689,CB-00016,REQUIERE_EDIT,false,alta,"The full variant is 12 questions: Pl, P2, P3, P4, PS, P6, P7, PB, P9, PlO-WL, Pll-WL, P12-WL.",body[597,Q4: Q4 question copy: ¿Qué buscas?,spec Q4,Pl -> Q4: OCR Pl=P1; recode in precedence/refs,Rule 18/19 questionnaire table,OCR Pl=P1; recode in precedence/refs
M-00222,CA-00690,CB-00196,REQUIERE_REEMPLAZO,false,alta,Rule 20 - Question pre-filling based on landing page,body[599]/Heading4,"Landing 'Home': None from landing. Q3, Q4, or Q15 may be inferred from external search query per Rule 16. If external search includes location → pre-fill Q15 an",spec §5.2,"Replace pre-fill matrix with new Rule 20 (Q-codes, renamed Estética corporal hub, new individual-training landings)",Rule 20,full table replacement incl Tonificar->Estética corporal rename
M-00223,CA-00691,CB-00196,REQUIERE_REEMPLAZO,false,alta,"When the user lands on a specific page, the system pre-fills the questions it can already infer from the landing",body[600,"Landing 'Home': None from landing. Q3, Q4, or Q15 may be inferred from external search query per Rule 16. If external search includes location → pre-fill Q15 an",spec §5.2,"Replace pre-fill matrix with new Rule 20 (Q-codes, renamed Estética corporal hub, new individual-training landings)",Rule 20,full table replacement incl Tonificar->Estética corporal rename
M-00224,CA-00692,CB-00196,REQUIERE_REEMPLAZO,false,alta,The user can confirm or change any pre-filled answer - the questions are not skipped.,body[600,"Landing 'Home': None from landing. Q3, Q4, or Q15 may be inferred from external search query per Rule 16. If external search includes location → pre-fill Q15 an",spec §5.2,"Replace pre-fill matrix with new Rule 20 (Q-codes, renamed Estética corporal hub, new individual-training landings)",Rule 20,full table replacement incl Tonificar->Estética corporal rename
M-00225,CA-00693,CB-00196,REQUIERE_REEMPLAZO,false,alta,Landing page Individual club Amenity,body[602,"Landing 'Home': None from landing. Q3, Q4, or Q15 may be inferred from external search query per Rule 16. If external search includes location → pre-fill Q15 an",spec §5.2,"Replace pre-fill matrix with new Rule 20 (Q-codes, renamed Estética corporal hub, new individual-training landings)",Rule 20,full table replacement incl Tonificar->Estética corporal rename
M-00226,CA-00694,CB-00196,REQUIERE_REEMPLAZO,false,alta,Premium or regular,body[603,"Landing 'Home': None from landing. Q3, Q4, or Q15 may be inferred from external search query per Rule 16. If external search includes location → pre-fill Q15 an",spec §5.2,"Replace pre-fill matrix with new Rule 20 (Q-codes, renamed Estética corporal hub, new individual-training landings)",Rule 20,full table replacement incl Tonificar->Estética corporal rename
M-00227,CA-00695,CB-00196,REQUIERE_REEMPLAZO,false,alta,class,body[604,"Landing 'Home': None from landing. Q3, Q4, or Q15 may be inferred from external search query per Rule 16. If external search includes location → pre-fill Q15 an",spec §5.2,"Replace pre-fill matrix with new Rule 20 (Q-codes, renamed Estética corporal hub, new individual-training landings)",Rule 20,full table replacement incl Tonificar->Estética corporal rename
