mapping_id,claim_a_id,claim_b_id,categoria,contradiccion_interna,confianza,cita_v41,ubicacion_v41,cita_spec,ubicacion_spec,accion_propuesta,locus_objetivo,observaciones
M-00361,CA-00849,CB-00120,REQUIERE_EDIT,false,alta,No questionnaire,body[791,Paths A/B/C/D = 16/17/19/20 visible questions,spec §3.3,"Update counts and unify conditional pattern: base 16, +Q11 pause, +Q17-19 WL",Rule 32,new visible-question counts and unified conditional logic
M-00362,CA-00850,CB-00120,REQUIERE_EDIT,false,alta,"Complete, inside the flow",body[793,Paths A/B/C/D = 16/17/19/20 visible questions,spec §3.3,"Update counts and unify conditional pattern: base 16, +Q11 pause, +Q17-19 WL",Rule 32,new visible-question counts and unified conditional logic
M-00363,CA-00851,CB-00120,REQUIERE_EDIT,false,alta,"Complete, outside the flow",body[794,Paths A/B/C/D = 16/17/19/20 visible questions,spec §3.3,"Update counts and unify conditional pattern: base 16, +Q11 pause, +Q17-19 WL",Rule 32,new visible-question counts and unified conditional logic
M-00364,CA-00852,CB-00120,REQUIERE_EDIT,false,alta,The user has not completed the questionnaire.,body[795,Paths A/B/C/D = 16/17/19/20 visible questions,spec §3.3,"Update counts and unify conditional pattern: base 16, +Q11 pause, +Q17-19 WL",Rule 32,new visible-question counts and unified conditional logic
M-00365,CA-00853,CB-00120,REQUIERE_EDIT,false,alta,"The user completed the questionnaire and reached this page by clicking a button from their personalized plan (e.g., ""View your club"" from the result screen).",body[797,Paths A/B/C/D = 16/17/19/20 visible questions,spec §3.3,"Update counts and unify conditional pattern: base 16, +Q11 pause, +Q17-19 WL",Rule 32,new visible-question counts and unified conditional logic
M-00366,CA-00854,CB-00120,REQUIERE_EDIT,false,alta,"The user completed the questionnaire previously but reached this page through a different path (external search, internal navigation, etc.).",body[798,Paths A/B/C/D = 16/17/19/20 visible questions,spec §3.3,"Update counts and unify conditional pattern: base 16, +Q11 pause, +Q17-19 WL",Rule 32,new visible-question counts and unified conditional logic
M-00367,CA-00855,CB-00120,REQUIERE_EDIT,false,alta,"When the user has completed the questionnaire, they always have a club identified - the questionnaire questions that identify the club are part of the 10 mandatory questions.",body[803,Paths A/B/C/D = 16/17/19/20 visible questions,spec §3.3,"Update counts and unify conditional pattern: base 16, +Q11 pause, +Q17-19 WL",Rule 32,new visible-question counts and unified conditional logic
M-00368,CA-00856,,COMPATIBLE_NO_EDIT,false,alta,Rule 33 - Summary of which buttons appear in each state,body[804]/Heading4,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00369,CA-00857,,COMPATIBLE_NO_EDIT,false,alta,Questionnaire state,body[806,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00370,CA-00858,,COMPATIBLE_NO_EDIT,false,alta,Global contextual-menu buttons,body[807,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00371,CA-00859,,COMPATIBLE_NO_EDIT,false,alta,No questionnaireTu Club ideal (where applicable),body[812,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00372,CA-00860,,COMPATIBLE_NO_EDIT,false,alta,Disena tu experiencia,body[812,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00373,CA-00861,,COMPATIBLE_NO_EDIT,false,alta,[ Agenda tu visita guiada),body[812,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00374,CA-00862,,COMPATIBLE_NO_EDIT,false,alta,Articulos o informaci6n util (ifanytaggedarticles exist) • page-specific buttons,body[812,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00375,CA-00863,,COMPATIBLE_NO_EDIT,false,alta,"Complete, inside the flow",body[816,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00376,CA-00864,,COMPATIBLE_NO_EDIT,false,alta,"Complete, outside the flow",body[817,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00377,CA-00865,,COMPATIBLE_NO_EDIT,false,alta,Volver a tu experiencia ideal • specific buttons,body[818,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00378,CA-00866,,COMPATIBLE_NO_EDIT,false,alta,util) (if any tagged articles exist),body[822,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00379,CA-00867,,COMPATIBLE_NO_EDIT,false,alta,page-specific buttons,body[822,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00380,CA-00868,,COMPATIBLE_NO_EDIT,false,alta,Agenda tu visita guiada,body[822]/txbx[0]/p[0,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00381,CA-00869,,COMPATIBLE_NO_EDIT,false,alta,Volver a tu experiencia ideal • Tu Club ideal or Otros clubes (as applicable),body[822]/txbx[1]/p[0,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00382,CA-00870,,COMPATIBLE_NO_EDIT,false,alta,Agenda tuvisi ta guiada •[ Articulos o info rmaci6n,body[822]/txbx[1]/p[0,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00383,CA-00871,,COMPATIBLE_NO_EDIT,false,alta,page-,body[823,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00384,CA-00873,,COMPATIBLE_NO_EDIT,false,baja,A questionnaire-complete user whose plan was generated more than 60 days ago is shown a non-blocking prompt offering to refresh the plan with current life context ([LSigue siendo tu objetivo? )),body[829,,,No change identified,(general),flagged questionnaire-adjacent; no edit
M-00385,CA-00874,,COMPATIBLE_NO_EDIT,false,baja,The plan continues to be available unchanged if the user does not interact with the prompt,body[829,,,No change identified,(general),flagged questionnaire-adjacent; no edit
M-00386,CA-00875,,COMPATIBLE_NO_EDIT,false,baja,This prevents stale recommendations from biasing the contextual menu indefinitely.,body[829,,,No change identified,(general),flagged questionnaire-adjacent; no edit
M-00387,CA-00887,,COMPATIBLE_NO_EDIT,false,media,Each matrix crosses the user state with the contextual menu and the questionnaire,body[846,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00388,CA-00888,,COMPATIBLE_NO_EDIT,false,media,Matrices assume the global rules from Part 4 are already applied,body[846,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
