mapping_id,claim_a_id,claim_b_id,categoria,contradiccion_interna,confianza,cita_v41,ubicacion_v41,cita_spec,ubicacion_spec,accion_propuesta,locus_objetivo,observaciones
M-00151,CA-00619,CB-00051,REQUIERE_REEMPLAZO,false,media,P3-Level,body[518,Q9: Q9 question copy: ¿Cuál es tu nivel de entrenamiento?,spec Q9,P3 -> Q9: level kept; gym history split into Q10 + conditional Q11 pause length,Rule 18/19 questionnaire table,level kept; gym history split into Q10 + conditional Q11 pause length
M-00152,CA-00620,,REQUIERE_REEMPLAZO,false,media,Solo yo • Yo + pareja,body[518]/txbx[0]/p[0,New 16Q + 3WL option set (spec §3),spec §3,Replace legacy option/question fragment as part of full Rule 18/19 rewrite,Rule 18/19 questionnaire table,fragment of legacy questionnaire; replaced wholesale
M-00153,CA-00621,,REQUIERE_REEMPLAZO,false,media,(Yo + hijos en Fi tKidz ),body[518]/txbx[0]/p[0,New 16Q + 3WL option set (spec §3),spec §3,Replace legacy option/question fragment as part of full Rule 18/19 rewrite,Rule 18/19 questionnaire table,fragment of legacy questionnaire; replaced wholesale
M-00154,CA-00622,,REQUIERE_REEMPLAZO,false,media,Toda lafamilia,body[518]/txbx[0]/p[0,New 16Q + 3WL option set (spec §3),spec §3,Replace legacy option/question fragment as part of full Rule 18/19 rewrite,Rule 18/19 questionnaire table,fragment of legacy questionnaire; replaced wholesale
M-00155,CA-00623,,REQUIERE_REEMPLAZO,false,media,Solo mis hijos en FitKidz,body[518]/txbx[0]/p[1,New 16Q + 3WL option set (spec §3),spec §3,Replace legacy option/question fragment as part of full Rule 18/19 rewrite,Rule 18/19 questionnaire table,fragment of legacy questionnaire; replaced wholesale
M-00156,CA-00624,,REQUIERE_REEMPLAZO,false,media,"( lCual es tuSingle-select,",body[521,New 16Q + 3WL option set (spec §3),spec §3,Replace legacy option/question fragment as part of full Rule 18/19 rewrite,Rule 18/19 questionnaire table,fragment of legacy questionnaire; replaced wholesale
M-00157,CA-00625,,REQUIERE_REEMPLAZO,false,media,ni vel?)required,body[522,New 16Q + 3WL option set (spec §3),spec §3,Replace legacy option/question fragment as part of full Rule 18/19 rewrite,Rule 18/19 questionnaire table,fragment of legacy questionnaire; replaced wholesale
M-00158,CA-00626,,REQUIERE_REEMPLAZO,false,media,Principiante • Intermedio • Avanzado,body[527]/txbx[0]/p[0,New 16Q + 3WL option set (spec §3),spec §3,Replace legacy option/question fragment as part of full Rule 18/19 rewrite,Rule 18/19 questionnaire table,fragment of legacy questionnaire; replaced wholesale
M-00159,CA-00627,,REQUIERE_REEMPLAZO,false,media,( Regreso despues de,body[527]/txbx[0]/p[0,New 16Q + 3WL option set (spec §3),spec §3,Replace legacy option/question fragment as part of full Rule 18/19 rewrite,Rule 18/19 questionnaire table,fragment of legacy questionnaire; replaced wholesale
M-00160,CA-00628,,REQUIERE_REEMPLAZO,false,media,pausa),body[528,New 16Q + 3WL option set (spec §3),spec §3,Replace legacy option/question fragment as part of full Rule 18/19 rewrite,Rule 18/19 questionnaire table,fragment of legacy questionnaire; replaced wholesale
