mapping_id,claim_a_id,claim_b_id,categoria,contradiccion_interna,confianza,cita_v41,ubicacion_v41,cita_spec,ubicacion_spec,accion_propuesta,locus_objetivo,observaciones
M-00601,CA-01318,,REQUIERE_EDIT,false,media,The system later normalizes the input server-side.,body[1418,,,Update abandon mid-flow thresholds to new counts (16/17/19/20),Part 6 abandon mid-flow,threshold tied to question count
M-00602,CA-01323,,REQUIERE_EDIT,false,media,- User abandons the questionnaire mid-flow,body[1425]/Heading4,,,Update abandon mid-flow thresholds to new counts (16/17/19/20),Part 6 abandon mid-flow,threshold tied to question count
M-00603,CA-01324,,COMPATIBLE_NO_EDIT,false,media,Behavior: partial questionnaire state is preserved in,body[1426,,,No change,Part 6 edge case,toca=true but not threshold/disclaimer
M-00604,CA-01327,,COMPATIBLE_NO_EDIT,false,media,accepted the privacy notice (Rule 36),body[1430,,,No change,Part 6 edge case,toca=true but not threshold/disclaimer
M-00605,CA-01328,,COMPATIBLE_NO_EDIT,false,media,"When the user returns, the questionnaire offers to resume from the last answered question",body[1430,,,No change,Part 6 edge case,toca=true but not threshold/disclaimer
M-00606,CA-01329,,COMPATIBLE_NO_EDIT,false,media,"If the user has not accepted the privacy notice, no state is preserved.",body[1430,,,No change,Part 6 edge case,toca=true but not threshold/disclaimer
M-00607,CA-01330,CB-00119,REQUIERE_EDIT,false,media,- Health disclaimer rejected,body[1431]/Heading4,"When Q4 includes 'Bajar de peso', a YMYL health disclaimer modal is shown before rendering the result, with the medical reviewer signature. Q4 = 'Mejorar mi est",spec §3.2,Verify/align health-disclaimer-rejected edge with YMYL trigger (Q4 Bajar de peso only),Part 6 health disclaimer rejected,YMYL gated on Q4=Bajar de peso; estética does not trigger
M-00608,CA-01331,CB-00119,REQUIERE_EDIT,false,media,"Trigger: in the (Bajar de peso)flow (or rehabilitation hub), the user is shown the health-disclaimer modal and declines.",body[1433,"When Q4 includes 'Bajar de peso', a YMYL health disclaimer modal is shown before rendering the result, with the medical reviewer signature. Q4 = 'Mejorar mi est",spec §3.2,Verify/align health-disclaimer-rejected edge with YMYL trigger (Q4 Bajar de peso only),Part 6 health disclaimer rejected,YMYL gated on Q4=Bajar de peso; estética does not trigger
M-00609,CA-01347,,COMPATIBLE_NO_EDIT,false,media,Trigger: the user searches (yoga Polanco bajar de peso) (a class+ a location+ a goal).,body[1446,,,No change,Part 6 edge case,toca=true but not threshold/disclaimer
M-00610,CA-01348,,REQUIERE_EDIT,false,media,Behavior: see Rule 17,body[1447,,,Update abandon mid-flow thresholds to new counts (16/17/19/20),Part 6 abandon mid-flow,threshold tied to question count
M-00611,CA-01349,,REQUIERE_EDIT,false,media,Pl wins over P9 wins over P4,body[1447,,,Update abandon mid-flow thresholds to new counts (16/17/19/20),Part 6 abandon mid-flow,threshold tied to question count
