mapping_id,claim_a_id,claim_b_id,categoria,contradiccion_interna,confianza,cita_v41,ubicacion_v41,cita_spec,ubicacion_spec,accion_propuesta,locus_objetivo,observaciones
M-00511,CA-01159,,COMPATIBLE_NO_EDIT,false,media,StateQuestionnaireContextual menu,body[1192,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00512,CA-01160,,COMPATIBLE_NO_EDIT,false,media,No questionnaire • no club selected • no inferred location,body[1196,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00513,CA-01161,,COMPATIBLE_NO_EDIT,false,media,No questionnaire • no club selected • with inferred location,body[1199,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00514,CA-01162,,COMPATIBLE_NO_EDIT,false,media,No questionnaire,body[1202,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00515,CA-01163,,COMPATIBLE_NO_EDIT,false,media,with club selected,body[1202,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00516,CA-01165,,REQUIERE_EDIT,false,media,12 questions with Pl pre-filled and editable,body[1206,,,Recompute matrix cell: P-codes->Q-codes and/or question counts,Part 5 matrix cell,cell references questionnaire codes/counts
M-00517,CA-01166,,REQUIERE_EDIT,false,media,"12 questions with Pl, PS and P9 pre-filled and editable",body[1210,,,Recompute matrix cell: P-codes->Q-codes and/or question counts,Part 5 matrix cell,cell references questionnaire codes/counts
M-00518,CA-01167,,REQUIERE_EDIT,false,media,12 questions with Pl pre-filled and editable,body[1213,,,Recompute matrix cell: P-codes->Q-codes and/or question counts,Part 5 matrix cell,cell references questionnaire codes/counts
M-00519,CA-01171,,COMPATIBLE_NO_EDIT,false,media,info rmaci6n util]•( Disena tu experiencia],body[1219,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00520,CA-01172,,COMPATIBLE_NO_EDIT,false,media,(Agenda tu visita guiada],body[1219,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00521,CA-01175,,COMPATIBLE_NO_EDIT,false,media,informaci6n util]•( Disena tu experiencia],body[1221,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00522,CA-01176,,COMPATIBLE_NO_EDIT,false,media,(Agenda tu visi ta guiada),body[1221,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00523,CA-01177,,COMPATIBLE_NO_EDIT,false,media,Articulos o informaci6n util • Disena tu experiencia,body[1222]/txbx[0]/p[0,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00524,CA-01178,,COMPATIBLE_NO_EDIT,false,media,[Agenda tu,body[1222]/txbx[0]/p[0,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00525,CA-01181,,COMPATIBLE_NO_EDIT,false,media,Volver a tu experiencia ideal,body[1230]/txbx[0]/p[0,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00526,CA-01182,,COMPATIBLE_NO_EDIT,false,media,Articulos o informaci6n util •,body[1230]/txbx[0]/p[0,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00527,CA-01184,,COMPATIBLE_NO_EDIT,false,media,Volver a tu experiencia ideal,body[1230]/txbx[1]/p[0,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00528,CA-01185,,COMPATIBLE_NO_EDIT,false,media,Articulos o informaci6n util •,body[1230]/txbx[1]/p[0,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00529,CA-01188,,REQUIERE_EDIT,false,media,Landing pre-fills PS= Con personal trainer,body[1237,,,Recompute matrix cell: P-codes->Q-codes and/or question counts,Part 5 matrix cell,cell references questionnaire codes/counts
M-00530,CA-01189,,REQUIERE_EDIT,false,media,Theuser can confirm or change.,body[1237,,,Recompute matrix cell: P-codes->Q-codes and/or question counts,Part 5 matrix cell,cell references questionnaire codes/counts
M-00531,CA-01190,,COMPATIBLE_NO_EDIT,false,media,StateQuestionnaireContextual menu,body[1239,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00532,CA-01191,,COMPATIBLE_NO_EDIT,false,media,No questionnaire,body[1243,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00533,CA-01192,,COMPATIBLE_NO_EDIT,false,media,no club selected • no inferred location,body[1243,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00534,CA-01193,,COMPATIBLE_NO_EDIT,false,media,No questionnaire,body[1246,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00535,CA-01194,,COMPATIBLE_NO_EDIT,false,media,no club selected,body[1246,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00536,CA-01195,,COMPATIBLE_NO_EDIT,false,media,with inferred location,body[1246,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00537,CA-01196,,COMPATIBLE_NO_EDIT,false,media,No questionnaire,body[1249,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00538,CA-01197,,COMPATIBLE_NO_EDIT,false,media,with club selected,body[1249,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00539,CA-01200,,REQUIERE_EDIT,false,media,10 questions with PS pre-filled and editable (12 if weight loss),body[1256,,,Recompute matrix cell: P-codes->Q-codes and/or question counts,Part 5 matrix cell,cell references questionnaire codes/counts
M-00540,CA-01201,,REQUIERE_EDIT,false,media,"10 questions with PS, P8 and P9 pre-filled and editable (12 if weight loss)",body[1259,,,Recompute matrix cell: P-codes->Q-codes and/or question counts,Part 5 matrix cell,cell references questionnaire codes/counts
