mapping_id,claim_a_id,claim_b_id,categoria,contradiccion_interna,confianza,cita_v41,ubicacion_v41,cita_spec,ubicacion_spec,accion_propuesta,locus_objetivo,observaciones
M-00751,,CB-00086,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,"Q15 type: single, required",spec Q15,"Add to v4.2: Q15 type: single, required",Rule 18/19 (new questions),NUEVA via node T10; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00752,,CB-00087,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,Q15 option: Cerca de mi casa,spec Q15,Add to v4.2: Q15 option: Cerca de mi casa,Rule 18/19 (new questions),NUEVA via node T10; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00753,,CB-00088,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,Q15 option: Cerca de mi trabajo,spec Q15,Add to v4.2: Q15 option: Cerca de mi trabajo,Rule 18/19 (new questions),NUEVA via node T10; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00754,,CB-00089,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,Q15 option: Ambos,spec Q15,Add to v4.2: Q15 option: Ambos,Rule 18/19 (new questions),NUEVA via node T10; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00755,,CB-00090,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,Q15 option: No me importa,spec Q15,Add to v4.2: Q15 option: No me importa,Rule 18/19 (new questions),NUEVA via node T10; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00756,,CB-00092,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,"Q16 type: two fields, exactly one required (XOR)",spec Q16,"Add to v4.2: Q16 type: two fields, exactly one required (XOR)",Rule 18/Rule 32 (conditional logic),NUEVA via node T13; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00757,,CB-00093,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,Q16 option: Field A: Código postal (5 digits numeric),spec Q16,Add to v4.2: Q16 option: Field A: Código postal (5 digits numeric),Rule 18/Rule 32 (conditional logic),NUEVA via node T13; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00758,,CB-00094,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,Q16 option: Field B: Colonia (free text). At least one must be present; both filled is acceptable.,spec Q16,Add to v4.2: Q16 option: Field B: Colonia (free text). At least one must be present; both filled is acceptable.,Rule 18/Rule 32 (conditional logic),NUEVA via node T13; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00759,,CB-00095,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,"Gender concordance rule (applies to Q13 and Q14): If Q2 = 'Mujer', render feminine forms ('Sola','Acompañada'). If Q2 = 'Hombre' or 'Prefiero no mencionarlo', render masculine forms ('Solo','Acompañado') as default.",spec gender-concordance,"Add to v4.2: Gender concordance rule (applies to Q13 and Q14): If Q2 = 'Mujer', render feminine forms ('Sola','Acompañada'). If Q2 = ",Rule 18 (gender concordance note),NUEVA via node T14; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00760,,CB-00096,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,Weight-loss optionals visible only if Q4 includes 'Bajar de peso'. Appended after Q16.,spec WL-trigger,Add to v4.2: Weight-loss optionals visible only if Q4 includes 'Bajar de peso'. Appended after Q16.,Rule 14/Part 6 YMYL,NUEVA via node T27; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00761,,CB-00097,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,Q17 question copy: Cuéntanos sobre tu salud actual,spec Q17,Add to v4.2: Q17 question copy: Cuéntanos sobre tu salud actual,Rule 18/19 (new questions),NUEVA via node T10; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
