mapping_id,claim_a_id,claim_b_id,categoria,contradiccion_interna,confianza,cita_v41,ubicacion_v41,cita_spec,ubicacion_spec,accion_propuesta,locus_objetivo,observaciones
M-00661,CA-01555,,REQUIERE_REEMPLAZO,false,alta,CIUDAD-ZMVM,body[1668]/txbx[0]/p[0,New questionnaire codes Q1..Q19 replace legacy P-series,prompt §3 + Appendix D rewrite,Rewrite questionnaire-codes subsection: P1-P10 + WL series -> Q1-Q19; preserve city/article/rule code systems and immutability principle,Appendix D / Questionnaire codes,legacy P-code list superseded by Q-codes; other code systems untouched (§6)
M-00662,CA-01556,,REQUIERE_REEMPLAZO,false,alta,Article tag codes,body[1669,New questionnaire codes Q1..Q19 replace legacy P-series,prompt §3 + Appendix D rewrite,Rewrite questionnaire-codes subsection: P1-P10 + WL series -> Q1-Q19; preserve city/article/rule code systems and immutability principle,Appendix D / Questionnaire codes,legacy P-code list superseded by Q-codes; other code systems untouched (§6)
M-00663,CA-01557,,REQUIERE_REEMPLAZO,false,alta,"All lowercase, hyphenated",body[1669,New questionnaire codes Q1..Q19 replace legacy P-series,prompt §3 + Appendix D rewrite,Rewrite questionnaire-codes subsection: P1-P10 + WL series -> Q1-Q19; preserve city/article/rule code systems and immutability principle,Appendix D / Questionnaire codes,legacy P-code list superseded by Q-codes; other code systems untouched (§6)
M-00664,CA-01558,,REQUIERE_REEMPLAZO,false,alta,See Rule 29 for the full list.,body[1669,New questionnaire codes Q1..Q19 replace legacy P-series,prompt §3 + Appendix D rewrite,Rewrite questionnaire-codes subsection: P1-P10 + WL series -> Q1-Q19; preserve city/article/rule code systems and immutability principle,Appendix D / Questionnaire codes,legacy P-code list superseded by Q-codes; other code systems untouched (§6)
M-00665,CA-01559,,REQUIERE_REEMPLAZO,false,alta,Rules,body[1670,New questionnaire codes Q1..Q19 replace legacy P-series,prompt §3 + Appendix D rewrite,Rewrite questionnaire-codes subsection: P1-P10 + WL series -> Q1-Q19; preserve city/article/rule code systems and immutability principle,Appendix D / Questionnaire codes,legacy P-code list superseded by Q-codes; other code systems untouched (§6)
M-00666,CA-01560,,REQUIERE_REEMPLAZO,false,alta,"Rule 1 to Rule 37, with sub-rules 3.1 and 3.2",body[1670,New questionnaire codes Q1..Q19 replace legacy P-series,prompt §3 + Appendix D rewrite,Rewrite questionnaire-codes subsection: P1-P10 + WL series -> Q1-Q19; preserve city/article/rule code systems and immutability principle,Appendix D / Questionnaire codes,legacy P-code list superseded by Q-codes; other code systems untouched (§6)
M-00667,CA-01561,,REQUIERE_REEMPLAZO,false,alta,All numbered globally.,body[1670,New questionnaire codes Q1..Q19 replace legacy P-series,prompt §3 + Appendix D rewrite,Rewrite questionnaire-codes subsection: P1-P10 + WL series -> Q1-Q19; preserve city/article/rule code systems and immutability principle,Appendix D / Questionnaire codes,legacy P-code list superseded by Q-codes; other code systems untouched (§6)
M-00668,CA-01562,,REQUIERE_REEMPLAZO,false,alta,Code immutability principle,body[1671,New questionnaire codes Q1..Q19 replace legacy P-series,prompt §3 + Appendix D rewrite,Rewrite questionnaire-codes subsection: P1-P10 + WL series -> Q1-Q19; preserve city/article/rule code systems and immutability principle,Appendix D / Questionnaire codes,legacy P-code list superseded by Q-codes; other code systems untouched (§6)
M-00669,CA-01563,,REQUIERE_REEMPLAZO,false,alta,None of the codes above are reassigned if an element is removed or replaced,body[1671,New questionnaire codes Q1..Q19 replace legacy P-series,prompt §3 + Appendix D rewrite,Rewrite questionnaire-codes subsection: P1-P10 + WL series -> Q1-Q19; preserve city/article/rule code systems and immutability principle,Appendix D / Questionnaire codes,legacy P-code list superseded by Q-codes; other code systems untouched (§6)
M-00670,CA-01564,,REQUIERE_REEMPLAZO,false,alta,Removed codes are retired permanently,body[1671,New questionnaire codes Q1..Q19 replace legacy P-series,prompt §3 + Appendix D rewrite,Rewrite questionnaire-codes subsection: P1-P10 + WL series -> Q1-Q19; preserve city/article/rule code systems and immutability principle,Appendix D / Questionnaire codes,legacy P-code list superseded by Q-codes; other code systems untouched (§6)
M-00671,CA-01565,,REQUIERE_REEMPLAZO,false,alta,New codes are added at the end of the relevant series.,body[1671,New questionnaire codes Q1..Q19 replace legacy P-series,prompt §3 + Appendix D rewrite,Rewrite questionnaire-codes subsection: P1-P10 + WL series -> Q1-Q19; preserve city/article/rule code systems and immutability principle,Appendix D / Questionnaire codes,legacy P-code list superseded by Q-codes; other code systems untouched (§6)
M-00672,CA-01566,,REQUIERE_REEMPLAZO,false,alta,End of UX Specification v4.1,body[1674,New questionnaire codes Q1..Q19 replace legacy P-series,prompt §3 + Appendix D rewrite,Rewrite questionnaire-codes subsection: P1-P10 + WL series -> Q1-Q19; preserve city/article/rule code systems and immutability principle,Appendix D / Questionnaire codes,legacy P-code list superseded by Q-codes; other code systems untouched (§6)
M-00673,CA-01567,,REQUIERE_REEMPLAZO,false,alta,Confidential.,body[1674,New questionnaire codes Q1..Q19 replace legacy P-series,prompt §3 + Appendix D rewrite,Rewrite questionnaire-codes subsection: P1-P10 + WL series -> Q1-Q19; preserve city/article/rule code systems and immutability principle,Appendix D / Questionnaire codes,legacy P-code list superseded by Q-codes; other code systems untouched (§6)
M-00674,,CB-00001,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,Q1 question copy: Nombre completo,spec Q1,Add to v4.2: Q1 question copy: Nombre completo,Rule 18/19 (new questions),NUEVA via node T10; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00675,,CB-00002,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,Q1 type: text,spec Q1,Add to v4.2: Q1 type: text,Rule 18/19 (new questions),NUEVA via node T10; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00676,,CB-00003,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,"Q1 field: Free text, required",spec Q1,"Add to v4.2: Q1 field: Free text, required",Rule 18/19 (new questions),NUEVA via node T10; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00677,,CB-00004,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,Q2 question copy: Género,spec Q2,Add to v4.2: Q2 question copy: Género,Rule 18/19 (new questions),NUEVA via node T10; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00678,,CB-00005,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,"Q2 type: single, required",spec Q2,"Add to v4.2: Q2 type: single, required",Rule 18/19 (new questions),NUEVA via node T10; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
