mapping_id,claim_a_id,claim_b_id,categoria,contradiccion_interna,confianza,cita_v41,ubicacion_v41,cita_spec,ubicacion_spec,accion_propuesta,locus_objetivo,observaciones
M-00421,CA-00962,,COMPATIBLE_NO_EDIT,false,media,(Agenda,body[955]/txbx[2]/p[0,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00422,CA-00964,,COMPATIBLE_NO_EDIT,false,media,Volver a tu experiencia ideal,body[960,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00423,CA-00965,,COMPATIBLE_NO_EDIT,false,media,Otros clubes en elarea •[Agenda tu visita guiada],body[960,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00424,CA-00966,,COMPATIBLE_NO_EDIT,false,media,Contextual menu,body[966,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00425,CA-00967,,COMPATIBLE_NO_EDIT,false,media,No questionnaire • no club selected • no inferred location,body[972,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00426,CA-00968,,COMPATIBLE_NO_EDIT,false,media,No questionnaire • no club selected • with inferred location,body[974,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00427,CA-00969,,COMPATIBLE_NO_EDIT,false,media,No questionnaire,body[976,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00428,CA-00970,,COMPATIBLE_NO_EDIT,false,media,with club selected,body[976,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00429,CA-00971,,REQUIERE_EDIT,false,media,10 standard questions (12 if weight loss),body[977,,,Recompute matrix cell: P-codes->Q-codes and/or question counts,Part 5 matrix cell,cell references questionnaire codes/counts
M-00430,CA-00972,,REQUIERE_EDIT,false,media,"10 questions, PS and P9 pre-filled and editable (12 if weight loss)",body[980,,,Recompute matrix cell: P-codes->Q-codes and/or question counts,Part 5 matrix cell,cell references questionnaire codes/counts
M-00431,CA-00973,,REQUIERE_EDIT,false,media,10 standard questions (12 if weight loss),body[982,,,Recompute matrix cell: P-codes->Q-codes and/or question counts,Part 5 matrix cell,cell references questionnaire codes/counts
M-00432,CA-00984,,COMPATIBLE_NO_EDIT,false,media,StateQuestionnaireContextual menu,body[996,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00433,CA-00989,,COMPATIBLE_NO_EDIT,false,media,(Volver a tu experiencia ideal],body[1014,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00434,CA-00991,,COMPATIBLE_NO_EDIT,false,media,(Volver a tu experiencia ideal],body[1016,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00435,CA-00994,,REQUIERE_EDIT,false,media,Landing on a class pre-fills P4 (movement type) with the class's discipline,body[1022,,,Recompute matrix cell: P-codes->Q-codes and/or question counts,Part 5 matrix cell,cell references questionnaire codes/counts
M-00436,CA-00995,,REQUIERE_EDIT,false,media,The user can confirm or change.,body[1022,,,Recompute matrix cell: P-codes->Q-codes and/or question counts,Part 5 matrix cell,cell references questionnaire codes/counts
M-00437,CA-00997,,COMPATIBLE_NO_EDIT,false,media,Questionnaire,table@body[1024]/r[0]/c[1,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00438,CA-00998,,COMPATIBLE_NO_EDIT,false,media,Contextual menu,table@body[1024]/r[0]/c[2,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00439,CA-00999,,COMPATIBLE_NO_EDIT,false,media,No questionnaire,table@body[1024]/r[2]/c[0,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00440,CA-01000,,COMPATIBLE_NO_EDIT,false,media,no club,table@body[1024]/r[2]/c[0,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00441,CA-01001,,REQUIERE_EDIT,false,media,"10 questions, P4 pre-filled and",table@body[1024]/r[2]/c[1,,,Recompute matrix cell: P-codes->Q-codes and/or question counts,Part 5 matrix cell,cell references questionnaire codes/counts
M-00442,CA-01004,,COMPATIBLE_NO_EDIT,false,media,editable (12 if weight loss),table@body[1024]/r[3]/c[1,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00443,CA-01009,,COMPATIBLE_NO_EDIT,false,media,No questionnaire,table@body[1024]/r[6]/c[0,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00444,CA-01010,,COMPATIBLE_NO_EDIT,false,media,no club,table@body[1024]/r[6]/c[0,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00445,CA-01011,,REQUIERE_EDIT,false,media,"10 questions, P4, PB and P9 pre-",table@body[1024]/r[6]/c[1,,,Recompute matrix cell: P-codes->Q-codes and/or question counts,Part 5 matrix cell,cell references questionnaire codes/counts
M-00446,CA-01015,,COMPATIBLE_NO_EDIT,false,media,filled and editable (12 if weight loss),table@body[1024]/r[7]/c[1,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00447,CA-01018,,COMPATIBLE_NO_EDIT,false,media,No questionnaire,table@body[1024]/r[8]/c[0,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00448,CA-01019,,COMPATIBLE_NO_EDIT,false,media,with club,table@body[1024]/r[8]/c[0,,,No change; cell not tied to codes/counts,Part 5 matrix cell,toca=true via state mention but no code/count edit needed
M-00449,CA-01020,,REQUIERE_EDIT,false,media,"10 questions, P4 pre-filled and",table@body[1024]/r[8]/c[1,,,Recompute matrix cell: P-codes->Q-codes and/or question counts,Part 5 matrix cell,cell references questionnaire codes/counts
